governorate_name_en,governorate_name_ar,governorate_name_ar_tashkeel,governorate_phone_numbering_plan,governorate_capital_name_ar,governorate_capital_name_en,governorate_name_ar_normalized,governorate_name_en_normalized,district_name_en,district_name_ar,district_name_ar_tashkeel,district_name_ar_normalized,district_name_en_normalized,uzlah_name_en,uzlah_name_ar,uzlah_name_ar_normalized,uzlah_name_en_normalized,village_name_en,village_name_ar,village_name_ar_normalized,village_name_en_normalized
"Amant Al-Asmah","أمانة العاصمة","أَمانَة العاصِمَةِ",01,,,"امانه العاصمه","Amant Al Asmah",Azal,آزَاْل,آزَاْل,ازال,Azal,Azaal,ازال,ازال,Azaal,,,,
"Amant Al-Asmah","أمانة العاصمة","أَمانَة العاصِمَةِ",01,,,"امانه العاصمه","Amant Al Asmah",Al-Safiah,الصافية,الصَّافِيَة,الصافيه,"Al Safiah",,,,,,,,
"Amant Al-Asmah","أمانة العاصمة","أَمانَة العاصِمَةِ",01,,,"امانه العاصمه","Amant Al Asmah",Al-Sabe'en,السبعين,السَّبْعِين,السبعين,"Al Sabeen","As Sab'in",السبعين,السبعين,"As Sabin",Al-Amanh,الامانة,الامانه,"Al Amanh"
"Amant Al-Asmah","أمانة العاصمة","أَمانَة العاصِمَةِ",01,,,"امانه العاصمه","Amant Al Asmah",Al-Sabe'en,السبعين,السَّبْعِين,السبعين,"Al Sabeen","As Sab'in",السبعين,السبعين,"As Sabin","As-Swad Ash-Shmaly","السواد الشمالي","السواد الشمالي","As Swad Ash Shmaly"
"Amant Al-Asmah","أمانة العاصمة","أَمانَة العاصِمَةِ",01,,,"امانه العاصمه","Amant Al Asmah",Al-Sabe'en,السبعين,السَّبْعِين,السبعين,"Al Sabeen","As Sab'in",السبعين,السبعين,"As Sabin","Hart An-Nsr","حارة النصر","حاره النصر","Hart An Nsr"
"Amant Al-Asmah","أمانة العاصمة","أَمانَة العاصِمَةِ",01,,,"امانه العاصمه","Amant Al Asmah",Sh'oob,شعوب,شُعُوْب,شعوب,Shoob,,,,,,,,
